artifact_id, repo_path
"com.jamierf.dropwizard:dropwizard-logging-gelf","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.jamierf.dropwizard:dropwizard-logging-gelf"
"br.com.progolden:vraptor-boilerplate-hibernate","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/br.com.progolden:vraptor-boilerplate-hibernate"
"org.swordapp:sword2-client","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.swordapp:sword2-client"
"io.openmessaging:registry-server","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.openmessaging:registry-server"
"org.commonjava.maven.plugins:monolith-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.commonjava.maven.plugins:monolith-maven-plugin"
"cloud.pianola:cdk-fluent-assertions","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/cloud.pianola:cdk-fluent-assertions"
"com.github.sebhoss:fiscal-year","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.sebhoss:fiscal-year"
"com.bq.oss.lib:cli","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.bq.oss.lib:cli"
"de.digitalcollections.cudami:cudami-website-frontend","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.digitalcollections.cudami:cudami-website-frontend"
"io.github.willhains:package-info-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.willhains:package-info-maven-plugin"
"io.opentracing.contrib:opentracing-thrift","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.opentracing.contrib:opentracing-thrift"
"com.github.bwfdm:dspace-connector","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.bwfdm:dspace-connector"
"top.continew:continew-starter-data-mybatis-plus","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/top.continew:continew-starter-data-mybatis-plus"
